"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.cellobello.org/about/","1","About - CelloBello","18","158","Indexable",""
"https://www.cellobello.org/repertoire/","1","Repertoire - CelloBello","23","198","Indexable",""
