"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.cellobello.org/events/list/","1","Non-Indexable","Canonicalised","https://www.cellobello.org/events/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.cellobello.org/events/page/2/","","",""
"https://www.cellobello.org/events/list/?eventDisplay=past","1","Non-Indexable","Canonicalised","https://www.cellobello.org/events/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.cellobello.org/events/page/2/","","",""
"https://www.cellobello.org/cello-books/page/3/","1","Non-Indexable","Canonicalised","https://www.cellobello.org/cello-books/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.cellobello.org/cello-books/page/2/","1","Non-Indexable","Canonicalised","https://www.cellobello.org/cello-books/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.cellobello.org/cello-books/page/8/","1","Non-Indexable","Canonicalised","https://www.cellobello.org/cello-books/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.cellobello.org/repertoire/page/3/","1","Non-Indexable","Canonicalised","https://www.cellobello.org/repertoire/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.cellobello.org/repertoire/page/2/","1","Non-Indexable","Canonicalised","https://www.cellobello.org/repertoire/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.cellobello.org/repertoire/page/77/","1","Non-Indexable","Canonicalised","https://www.cellobello.org/repertoire/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
