"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://www.cellobello.org/events/list/","Non-Indexable","Canonicalised","https://www.cellobello.org/events/page/2/","","","","https://www.cellobello.org/events/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.cellobello.org/events/list/?eventDisplay=past","Non-Indexable","Canonicalised","https://www.cellobello.org/events/page/2/","","","","https://www.cellobello.org/events/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.cellobello.org/cello-legacy/cellists/paul-katz/","Indexable","","https://www.cellobello.org/cello-legacy/cellists/paul-katz/page/2/","","","","https://www.cellobello.org/cello-legacy/cellists/paul-katz/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.cellobello.org/cello-legacy/cellists/emanuel-feuermann/","Indexable","","https://www.cellobello.org/cello-legacy/cellists/emanuel-feuermann/page/2/","","","","https://www.cellobello.org/cello-legacy/cellists/emanuel-feuermann/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.cellobello.org/cello-legacy/cellists/janos-starker/","Indexable","","https://www.cellobello.org/cello-legacy/cellists/janos-starker/page/2/","","","","https://www.cellobello.org/cello-legacy/cellists/janos-starker/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.cellobello.org/cello-legacy/cellists/pablo-pau-casals/","Indexable","","https://www.cellobello.org/cello-legacy/cellists/pablo-pau-casals/page/2/","","","","https://www.cellobello.org/cello-legacy/cellists/pablo-pau-casals/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.cellobello.org/events/","Indexable","","https://www.cellobello.org/events/page/2/","","","","https://www.cellobello.org/events/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
